REGION,FUEL,YEAR,VALUE
REGION1,CHE2,2027,242.172
REGION1,CHE2,2028,243.288
REGION1,CHE2,2029,244.404
REGION1,CHE2,2030,245.52
REGION1,CHE2,2031,246.636
REGION1,CHE2,2032,247.752
REGION1,CHE2,2033,248.868
REGION1,CHE2,2034,249.984
REGION1,CHE2,2035,251.1
REGION1,CHE2,2036,251.9928
REGION1,CHE2,2037,252.8856
REGION1,CHE2,2038,253.7784
REGION1,CHE2,2039,254.6712
REGION1,CHE2,2040,255.564
REGION1,CHE2,2041,256.4568
REGION1,CHE2,2042,257.3496
REGION1,CHE2,2043,258.2424
REGION1,CHE2,2044,259.1352
REGION1,CHE2,2045,260.028
REGION1,CHE2,2046,260.9208
REGION1,CHE2,2047,261.8136
REGION1,CHE2,2048,262.7064
REGION1,CHE2,2049,263.5992
REGION1,CHE2,2050,264.492
REGION1,CHE2,2051,265.3798622
REGION1,CHE2,2052,266.2627168
REGION1,CHE2,2053,267.1404939
REGION1,CHE2,2054,268.0131242
REGION1,CHE2,2055,268.8805382
REGION1,CHE2,2056,269.7318771
REGION1,CHE2,2057,270.5669705
REGION1,CHE2,2058,271.385651
REGION1,CHE2,2059,272.1877543
REGION1,CHE2,2060,272.9731187
REGION1,CYE2,2015,15.07248
REGION1,CYE2,2016,15.323688
REGION1,CYE2,2017,15.574896
REGION1,CYE2,2018,15.826104
REGION1,CYE2,2019,16.077312
REGION1,CYE2,2020,16.32852
REGION1,CYE2,2021,16.621596
REGION1,CYE2,2022,16.914672
REGION1,CYE2,2023,17.207748
REGION1,CYE2,2024,17.500824
REGION1,CYE2,2025,17.7939
REGION1,CYE2,2026,17.9446248
REGION1,CYE2,2027,18.0953496
REGION1,CYE2,2028,18.2460744
REGION1,CYE2,2029,18.3967992
REGION1,CYE2,2030,18.54752
REGION1,CYE2,2031,18.798732
REGION1,CYE2,2032,19.04994
REGION1,CYE2,2033,19.301148
REGION1,CYE2,2034,19.552356
REGION1,CYE2,2035,19.80356
REGION1,CYE2,2036,20.054772
REGION1,CYE2,2037,20.30598
REGION1,CYE2,2038,20.557188
REGION1,CYE2,2039,20.808396
REGION1,CYE2,2040,21.0596
REGION1,CYE2,2041,21.4699104
REGION1,CYE2,2042,21.8802168
REGION1,CYE2,2043,22.2905232
REGION1,CYE2,2044,22.7008296
REGION1,CYE2,2045,23.11114
REGION1,CYE2,2046,23.3707176
REGION1,CYE2,2047,23.6302992
REGION1,CYE2,2048,23.8898808
REGION1,CYE2,2049,24.14946
REGION1,CYE2,2050,24.40904
REGION1,CYE2,2051,24.6287254
REGION1,CYE2,2052,24.85038392
REGION1,CYE2,2053,25.07403738
REGION1,CYE2,2054,25.29970372
REGION1,CYE2,2055,25.52740105
REGION1,CYE2,2056,25.75714766
REGION1,CYE2,2057,25.98896199
REGION1,CYE2,2058,26.22286265
REGION1,CYE2,2059,26.45886841
REGION1,CYE2,2060,26.69699823
REGION1,CZE2,2015,209.84242
REGION1,CZE2,2016,211.8269592
REGION1,CZE2,2017,213.8115024
REGION1,CZE2,2018,215.7960456
REGION1,CZE2,2019,217.7805888
REGION1,CZE2,2020,219.76513
REGION1,CZE2,2021,221.9757624
REGION1,CZE2,2022,224.1863928
REGION1,CZE2,2023,226.3970232
REGION1,CZE2,2024,228.6076536
REGION1,CZE2,2025,230.81828
REGION1,CZE2,2026,232.2752904
REGION1,CZE2,2027,233.7322968
REGION1,CZE2,2028,235.1893032
REGION1,CZE2,2029,236.6463096
REGION1,CZE2,2030,238.10332
REGION1,CZE2,2031,240.071112
REGION1,CZE2,2032,242.038908
REGION1,CZE2,2033,244.006704
REGION1,CZE2,2034,245.9745
REGION1,CZE2,2035,247.9423
REGION1,CZE2,2036,250.077564
REGION1,CZE2,2037,252.212832
REGION1,CZE2,2038,254.3481
REGION1,CZE2,2039,256.483368
REGION1,CZE2,2040,258.61864
REGION1,CZE2,2041,261.381924
REGION1,CZE2,2042,264.145212
REGION1,CZE2,2043,266.9085
REGION1,CZE2,2044,269.671788
REGION1,CZE2,2045,272.43508
REGION1,CZE2,2046,274.8969144
REGION1,CZE2,2047,277.3587528
REGION1,CZE2,2048,279.8205912
REGION1,CZE2,2049,282.28243
REGION1,CZE2,2050,284.74427
REGION1,CZE2,2051,287.0222221
REGION1,CZE2,2052,289.3183999
REGION1,CZE2,2053,291.6329471
REGION1,CZE2,2054,293.9660107
REGION1,CZE2,2055,296.3177388
REGION1,CZE2,2056,297.7993275
REGION1,CZE2,2057,299.2883241
REGION1,CZE2,2058,300.7847657
REGION1,CZE2,2059,302.2886896
REGION1,CZE2,2060,303.800133
REGION1,DEE2,2015,1879.0358
REGION1,DEE2,2016,1885.073206
REGION1,DEE2,2017,1891.110571
REGION1,DEE2,2018,1897.147937
REGION1,DEE2,2019,1903.185302
REGION1,DEE2,2020,1909.2227
REGION1,DEE2,2021,1919.940876
REGION1,DEE2,2022,1930.659084
REGION1,DEE2,2023,1941.377292
REGION1,DEE2,2024,1952.0955
REGION1,DEE2,2025,1962.8137
REGION1,DEE2,2026,1972.719677
REGION1,DEE2,2027,1982.625646
REGION1,DEE2,2028,1992.531614
REGION1,DEE2,2029,2002.437583
REGION1,DEE2,2030,2012.3436
REGION1,DEE2,2031,2014.344842
REGION1,DEE2,2032,2016.346133
REGION1,DEE2,2033,2018.347423
REGION1,DEE2,2034,2020.348714
REGION1,DEE2,2035,2022.35
REGION1,DEE2,2036,2025.57384
REGION1,DEE2,2037,2028.797676
REGION1,DEE2,2038,2032.021512
REGION1,DEE2,2039,2035.245348
REGION1,DEE2,2040,2038.4692
REGION1,DEE2,2041,2043.535212
REGION1,DEE2,2042,2048.60124
REGION1,DEE2,2043,2053.667268
REGION1,DEE2,2044,2058.733296
REGION1,DEE2,2045,2063.7993
REGION1,DEE2,2046,2068.513661
REGION1,DEE2,2047,2073.227998
REGION1,DEE2,2048,2077.942334
REGION1,DEE2,2049,2082.6567
REGION1,DEE2,2050,2087.371
REGION1,DEE2,2051,2091.54575
REGION1,DEE2,2052,2095.728842
REGION1,DEE2,2053,2099.920299
REGION1,DEE2,2054,2104.12014
REGION1,DEE2,2055,2108.32838
REGION1,DEE2,2056,2112.545037
REGION1,DEE2,2057,2116.770127
REGION1,DEE2,2058,2121.003667
REGION1,DEE2,2059,2125.245674
REGION1,DEE2,2060,2129.496166
REGION1,DKE2,2015,114.425244
REGION1,DKE2,2016,115.1537472
REGION1,DKE2,2017,115.8822504
REGION1,DKE2,2018,116.6107536
REGION1,DKE2,2019,117.3392568
REGION1,DKE2,2020,118.06776
REGION1,DKE2,2021,119.2986792
REGION1,DKE2,2022,120.5295984
REGION1,DKE2,2023,121.7605176
REGION1,DKE2,2024,122.9914368
REGION1,DKE2,2025,124.222356
REGION1,DKE2,2026,125.101584
REGION1,DKE2,2027,125.980812
REGION1,DKE2,2028,126.86004
REGION1,DKE2,2029,127.739268
REGION1,DKE2,2030,128.618496
REGION1,DKE2,2031,130.0922496
REGION1,DKE2,2032,131.5660032
REGION1,DKE2,2033,133.0397568
REGION1,DKE2,2034,134.5135104
REGION1,DKE2,2035,135.987264
REGION1,DKE2,2036,137.4191496
REGION1,DKE2,2037,138.8510352
REGION1,DKE2,2038,140.2829208
REGION1,DKE2,2039,141.7148064
REGION1,DKE2,2040,143.146692
REGION1,DKE2,2041,144.905148
REGION1,DKE2,2042,146.663604
REGION1,DKE2,2043,148.42206
REGION1,DKE2,2044,150.180516
REGION1,DKE2,2045,151.938972
REGION1,DKE2,2046,153.5885712
REGION1,DKE2,2047,155.2381704
REGION1,DKE2,2048,156.8877696
REGION1,DKE2,2049,158.5373688
REGION1,DKE2,2050,160.186968
REGION1,DKE2,2051,161.7888377
REGION1,DKE2,2052,163.4067261
REGION1,DKE2,2053,165.0407933
REGION1,DKE2,2054,166.6912013
REGION1,DKE2,2055,168.3581133
REGION1,DKE2,2056,170.0416944
REGION1,DKE2,2057,171.7421113
REGION1,DKE2,2058,173.4595325
REGION1,DKE2,2059,175.1941278
REGION1,DKE2,2060,176.9460691
REGION1,EEE2,2015,25.706952
REGION1,EEE2,2016,26.0167752
REGION1,EEE2,2017,26.3265984
REGION1,EEE2,2018,26.6364216
REGION1,EEE2,2019,26.9462448
REGION1,EEE2,2020,27.256068
REGION1,EEE2,2021,27.4570344
REGION1,EEE2,2022,27.6580008
REGION1,EEE2,2023,27.8589672
REGION1,EEE2,2024,28.0599336
REGION1,EEE2,2025,28.2609
REGION1,EEE2,2026,28.595844
REGION1,EEE2,2027,28.930788
REGION1,EEE2,2028,29.265732
REGION1,EEE2,2029,29.600676
REGION1,EEE2,2030,29.93562
REGION1,EEE2,2031,30.1114656
REGION1,EEE2,2032,30.2873112
REGION1,EEE2,2033,30.4631568
REGION1,EEE2,2034,30.6390024
REGION1,EEE2,2035,30.814848
REGION1,EEE2,2036,31.066056
REGION1,EEE2,2037,31.317264
REGION1,EEE2,2038,31.568472
REGION1,EEE2,2039,31.81968
REGION1,EEE2,2040,32.070888
REGION1,EEE2,2041,32.3974584
REGION1,EEE2,2042,32.7240288
REGION1,EEE2,2043,33.0505992
REGION1,EEE2,2044,33.3771696
REGION1,EEE2,2045,33.70374
REGION1,EEE2,2046,33.996816
REGION1,EEE2,2047,34.289892
REGION1,EEE2,2048,34.582968
REGION1,EEE2,2049,34.876044
REGION1,EEE2,2050,35.16912
REGION1,EEE2,2051,35.45047296
REGION1,EEE2,2052,35.73407674
REGION1,EEE2,2053,36.01994936
REGION1,EEE2,2054,36.30810895
REGION1,EEE2,2055,36.59857382
REGION1,EEE2,2056,36.85476384
REGION1,EEE2,2057,37.11274719
REGION1,EEE2,2058,37.37253642
REGION1,EEE2,2059,37.63414417
REGION1,EEE2,2060,37.89758318
REGION1,ESE2,2015,839.74648
REGION1,ESE2,2016,849.3593688
REGION1,ESE2,2017,858.9722616
REGION1,ESE2,2018,868.5851544
REGION1,ESE2,2019,878.1980472
REGION1,ESE2,2020,887.81094
REGION1,ESE2,2021,889.736868
REGION1,ESE2,2022,891.662796
REGION1,ESE2,2023,893.588724
REGION1,ESE2,2024,895.514652
REGION1,ESE2,2025,897.44058
REGION1,ESE2,2026,902.7745632
REGION1,ESE2,2027,908.1085464
REGION1,ESE2,2028,913.4425296
REGION1,ESE2,2029,918.7765128
REGION1,ESE2,2030,924.1105
REGION1,ESE2,2031,928.8248328
REGION1,ESE2,2032,933.5391696
REGION1,ESE2,2033,938.2535064
REGION1,ESE2,2034,942.9678432
REGION1,ESE2,2035,947.68218
REGION1,ESE2,2036,952.748208
REGION1,ESE2,2037,957.814236
REGION1,ESE2,2038,962.880264
REGION1,ESE2,2039,967.946292
REGION1,ESE2,2040,973.01232
REGION1,ESE2,2041,979.4934864
REGION1,ESE2,2042,985.9746528
REGION1,ESE2,2043,992.4558192
REGION1,ESE2,2044,998.9369856
REGION1,ESE2,2045,1005.41815
REGION1,ESE2,2046,1013.816873
REGION1,ESE2,2047,1022.215594
REGION1,ESE2,2048,1030.614314
REGION1,ESE2,2049,1039.01304
REGION1,ESE2,2050,1047.41176
REGION1,ESE2,2051,1054.743638
REGION1,ESE2,2052,1062.126844
REGION1,ESE2,2053,1069.561732
REGION1,ESE2,2054,1077.048664
REGION1,ESE2,2055,1084.588004
REGION1,ESE2,2056,1092.18012
REGION1,ESE2,2057,1099.825381
REGION1,ESE2,2058,1107.524159
REGION1,ESE2,2059,1115.276828
REGION1,ESE2,2060,1123.083766
REGION1,FIE2,2015,284.199984
REGION1,FIE2,2016,284.7358944
REGION1,FIE2,2017,285.2718048
REGION1,FIE2,2018,285.8077152
REGION1,FIE2,2019,286.3436256
REGION1,FIE2,2020,286.879536
REGION1,FIE2,2021,288.8138376
REGION1,FIE2,2022,290.7481392
REGION1,FIE2,2023,292.6824408
REGION1,FIE2,2024,294.6167424
REGION1,FIE2,2025,296.551044
REGION1,FIE2,2026,297.6647328
REGION1,FIE2,2027,298.7784216
REGION1,FIE2,2028,299.8921104
REGION1,FIE2,2029,301.0057992
REGION1,FIE2,2030,302.119488
REGION1,FIE2,2031,303.8109552
REGION1,FIE2,2032,305.5024224
REGION1,FIE2,2033,307.1938896
REGION1,FIE2,2034,308.8853568
REGION1,FIE2,2035,310.576824
REGION1,FIE2,2036,312.419016
REGION1,FIE2,2037,314.261208
REGION1,FIE2,2038,316.1034
REGION1,FIE2,2039,317.945592
REGION1,FIE2,2040,319.787784
REGION1,FIE2,2041,322.467336
REGION1,FIE2,2042,325.146888
REGION1,FIE2,2043,327.82644
REGION1,FIE2,2044,330.505992
REGION1,FIE2,2045,333.185544
REGION1,FIE2,2046,335.655756
REGION1,FIE2,2047,338.125968
REGION1,FIE2,2048,340.59618
REGION1,FIE2,2049,343.066392
REGION1,FIE2,2050,345.536604
REGION1,FIE2,2051,347.9553602
REGION1,FIE2,2052,350.3910477
REGION1,FIE2,2053,352.8437851
REGION1,FIE2,2054,355.3136916
REGION1,FIE2,2055,357.8008874
REGION1,FIE2,2056,360.3054936
REGION1,FIE2,2057,362.8276321
REGION1,FIE2,2058,365.3674255
REGION1,FIE2,2059,367.9249975
REGION1,FIE2,2060,370.5004725
REGION1,FRE2,2015,1582.10798
REGION1,FRE2,2016,1591.293823
REGION1,FRE2,2017,1600.479662
REGION1,FRE2,2018,1609.665502
REGION1,FRE2,2019,1618.851341
REGION1,FRE2,2020,1628.03718
REGION1,FRE2,2021,1632.182112
REGION1,FRE2,2022,1636.327044
REGION1,FRE2,2023,1640.471976
REGION1,FRE2,2024,1644.616908
REGION1,FRE2,2025,1648.76184
REGION1,FRE2,2026,1656.900979
REGION1,FRE2,2027,1665.040118
REGION1,FRE2,2028,1673.179258
REGION1,FRE2,2029,1681.318397
REGION1,FRE2,2030,1689.45754
REGION1,FRE2,2031,1703.70103
REGION1,FRE2,2032,1717.944523
REGION1,FRE2,2033,1732.188017
REGION1,FRE2,2034,1746.43151
REGION1,FRE2,2035,1760.675
REGION1,FRE2,2036,1774.684037
REGION1,FRE2,2037,1788.69307
REGION1,FRE2,2038,1802.702102
REGION1,FRE2,2039,1816.711135
REGION1,FRE2,2040,1830.72017
REGION1,FRE2,2041,1844.109554
REGION1,FRE2,2042,1857.498941
REGION1,FRE2,2043,1870.888327
REGION1,FRE2,2044,1884.277714
REGION1,FRE2,2045,1897.6671
REGION1,FRE2,2046,1912.337647
REGION1,FRE2,2047,1927.008194
REGION1,FRE2,2048,1941.678742
REGION1,FRE2,2049,1956.34929
REGION1,FRE2,2050,1971.01984
REGION1,FRE2,2051,1985.802485
REGION1,FRE2,2052,2000.696003
REGION1,FRE2,2053,2015.701223
REGION1,FRE2,2054,2030.818983
REGION1,FRE2,2055,2046.050125
REGION1,FRE2,2056,2060.372476
REGION1,FRE2,2057,2074.795083
REGION1,FRE2,2058,2089.318649
REGION1,FRE2,2059,2103.943879
REGION1,FRE2,2060,2118.671486
REGION1,GRE2,2015,184.0936
REGION1,GRE2,2016,185.6510856
REGION1,GRE2,2017,187.2085752
REGION1,GRE2,2018,188.7660648
REGION1,GRE2,2019,190.3235544
REGION1,GRE2,2020,191.88104
REGION1,GRE2,2021,190.9515744
REGION1,GRE2,2022,190.0221048
REGION1,GRE2,2023,189.0926352
REGION1,GRE2,2024,188.1631656
REGION1,GRE2,2025,187.2337
REGION1,GRE2,2026,186.145128
REGION1,GRE2,2027,185.05656
REGION1,GRE2,2028,183.967992
REGION1,GRE2,2029,182.879424
REGION1,GRE2,2030,181.79086
REGION1,GRE2,2031,183.507444
REGION1,GRE2,2032,185.224032
REGION1,GRE2,2033,186.94062
REGION1,GRE2,2034,188.657208
REGION1,GRE2,2035,190.3738
REGION1,GRE2,2036,191.4037488
REGION1,GRE2,2037,192.4337016
REGION1,GRE2,2038,193.4636544
REGION1,GRE2,2039,194.4936072
REGION1,GRE2,2040,195.52356
REGION1,GRE2,2041,196.1432064
REGION1,GRE2,2042,196.7628528
REGION1,GRE2,2043,197.3824992
REGION1,GRE2,2044,198.0021456
REGION1,GRE2,2045,198.62179
REGION1,GRE2,2046,199.50102
REGION1,GRE2,2047,200.380248
REGION1,GRE2,2048,201.259476
REGION1,GRE2,2049,202.1387
REGION1,GRE2,2050,203.01793
REGION1,GRE2,2051,203.8300037
REGION1,GRE2,2052,204.6453237
REGION1,GRE2,2053,205.463905
REGION1,GRE2,2054,206.2857607
REGION1,GRE2,2055,207.1109037
REGION1,GRE2,2056,207.9393473
REGION1,GRE2,2057,208.7711047
REGION1,GRE2,2058,209.6061891
REGION1,GRE2,2059,210.4446139
REGION1,GRE2,2060,211.2863923
REGION1,HRE2,2015,55.14016
REGION1,HRE2,2016,55.768176
REGION1,HRE2,2017,56.396196
REGION1,HRE2,2018,57.024216
REGION1,HRE2,2019,57.652236
REGION1,HRE2,2020,58.28026
REGION1,HRE2,2021,58.2635088
REGION1,HRE2,2022,58.2467616
REGION1,HRE2,2023,58.2300144
REGION1,HRE2,2024,58.2132672
REGION1,HRE2,2025,58.19652
REGION1,HRE2,2026,58.3891128
REGION1,HRE2,2027,58.5817056
REGION1,HRE2,2028,58.7742984
REGION1,HRE2,2029,58.9668912
REGION1,HRE2,2030,59.15948
REGION1,HRE2,2031,59.6451528
REGION1,HRE2,2032,60.1308216
REGION1,HRE2,2033,60.6164904
REGION1,HRE2,2034,61.1021592
REGION1,HRE2,2035,61.58783
REGION1,HRE2,2036,62.1656064
REGION1,HRE2,2037,62.7433848
REGION1,HRE2,2038,63.3211632
REGION1,HRE2,2039,63.8989416
REGION1,HRE2,2040,64.47672
REGION1,HRE2,2041,65.3224536
REGION1,HRE2,2042,66.1681872
REGION1,HRE2,2043,67.0139208
REGION1,HRE2,2044,67.8596544
REGION1,HRE2,2045,68.70539
REGION1,HRE2,2046,69.7185936
REGION1,HRE2,2047,70.7317992
REGION1,HRE2,2048,71.7450048
REGION1,HRE2,2049,72.75821
REGION1,HRE2,2050,73.77142
REGION1,HRE2,2051,74.73044441
REGION1,HRE2,2052,75.70194019
REGION1,HRE2,2053,76.68606541
REGION1,HRE2,2054,77.68298426
REGION1,HRE2,2055,78.69286305
REGION1,HRE2,2056,79.71587027
REGION1,HRE2,2057,80.75217659
REGION1,HRE2,2058,81.80195488
REGION1,HRE2,2059,82.8653803
REGION1,HRE2,2060,83.94263024
REGION1,HUE2,2015,124.64104
REGION1,HUE2,2016,125.5537584
REGION1,HUE2,2017,126.4664808
REGION1,HUE2,2018,127.3792032
REGION1,HUE2,2019,128.2919256
REGION1,HUE2,2020,129.20465
REGION1,HUE2,2021,130.8626208
REGION1,HUE2,2022,132.5205936
REGION1,HUE2,2023,134.1785664
REGION1,HUE2,2024,135.8365392
REGION1,HUE2,2025,137.49451
REGION1,HUE2,2026,138.122532
REGION1,HUE2,2027,138.750552
REGION1,HUE2,2028,139.378572
REGION1,HUE2,2029,140.006592
REGION1,HUE2,2030,140.63461
REGION1,HUE2,2031,141.72318
REGION1,HUE2,2032,142.811748
REGION1,HUE2,2033,143.900316
REGION1,HUE2,2034,144.988884
REGION1,HUE2,2035,146.07745
REGION1,HUE2,2036,147.7270512
REGION1,HUE2,2037,149.3766504
REGION1,HUE2,2038,151.0262496
REGION1,HUE2,2039,152.6758488
REGION1,HUE2,2040,154.32545
REGION1,HUE2,2041,156.2681232
REGION1,HUE2,2042,158.2107984
REGION1,HUE2,2043,160.1534736
REGION1,HUE2,2044,162.0961488
REGION1,HUE2,2045,164.03882
REGION1,HUE2,2046,165.211128
REGION1,HUE2,2047,166.383432
REGION1,HUE2,2048,167.555736
REGION1,HUE2,2049,168.72804
REGION1,HUE2,2050,169.90034
REGION1,HUE2,2051,171.0896464
REGION1,HUE2,2052,172.2872739
REGION1,HUE2,2053,173.4932849
REGION1,HUE2,2054,174.7077378
REGION1,HUE2,2055,175.930692
REGION1,HUE2,2056,176.8103455
REGION1,HUE2,2057,177.6943972
REGION1,HUE2,2058,178.5828692
REGION1,HUE2,2059,179.4757835
REGION1,HUE2,2060,180.3731624
REGION1,IEE2,2015,88.215876
REGION1,IEE2,2016,89.4635424
REGION1,IEE2,2017,90.7112088
REGION1,IEE2,2018,91.9588752
REGION1,IEE2,2019,93.2065416
REGION1,IEE2,2020,94.454208
REGION1,IEE2,2021,95.207832
REGION1,IEE2,2022,95.961456
REGION1,IEE2,2023,96.71508
REGION1,IEE2,2024,97.468704
REGION1,IEE2,2025,98.222328
REGION1,IEE2,2026,98.8001064
REGION1,IEE2,2027,99.3778848
REGION1,IEE2,2028,99.9556632
REGION1,IEE2,2029,100.5334416
REGION1,IEE2,2030,101.11122
REGION1,IEE2,2031,101.9737008
REGION1,IEE2,2032,102.8361816
REGION1,IEE2,2033,103.6986624
REGION1,IEE2,2034,104.5611432
REGION1,IEE2,2035,105.423624
REGION1,IEE2,2036,106.3614672
REGION1,IEE2,2037,107.2993104
REGION1,IEE2,2038,108.2371536
REGION1,IEE2,2039,109.1749968
REGION1,IEE2,2040,110.11284
REGION1,IEE2,2041,111.2265288
REGION1,IEE2,2042,112.3402176
REGION1,IEE2,2043,113.4539064
REGION1,IEE2,2044,114.5675952
REGION1,IEE2,2045,115.681284
REGION1,IEE2,2046,116.937324
REGION1,IEE2,2047,118.193364
REGION1,IEE2,2048,119.449404
REGION1,IEE2,2049,120.70544
REGION1,IEE2,2050,121.961484
REGION1,IEE2,2051,122.5712914
REGION1,IEE2,2052,123.1841479
REGION1,IEE2,2053,123.8000686
REGION1,IEE2,2054,124.419069
REGION1,IEE2,2055,125.0411643
REGION1,IEE2,2056,125.6663701
REGION1,IEE2,2057,126.294702
REGION1,IEE2,2058,126.9261755
REGION1,IEE2,2059,127.5608064
REGION1,IEE2,2060,128.1986104
REGION1,ITE2,2015,1058.76
REGION1,ITE2,2016,1066.09
REGION1,ITE2,2017,1073.43
REGION1,ITE2,2018,1080.76
REGION1,ITE2,2019,1088.1
REGION1,ITE2,2020,1095.43
REGION1,ITE2,2021,1096.88
REGION1,ITE2,2022,1098.33
REGION1,ITE2,2023,1099.78
REGION1,ITE2,2024,1101.23
REGION1,ITE2,2025,1102.68
REGION1,ITE2,2026,1108.04
REGION1,ITE2,2027,1113.4
REGION1,ITE2,2028,1118.75
REGION1,ITE2,2029,1124.11
